#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.35172414E+001  0.17241379E+001 -0.36977653E+002
 -0.35172414E+001  0.19655172E+001 -0.36569989E+002
 -0.35172414E+001  0.22068966E+001 -0.36183777E+002
 -0.35172414E+001  0.24482759E+001 -0.35808441E+002
 -0.35172414E+001  0.26896552E+001 -0.35438941E+002
 -0.35172414E+001  0.29310345E+001 -0.35072666E+002
 -0.35172414E+001  0.31724138E+001 -0.34708203E+002
 -0.35172414E+001  0.34137931E+001 -0.34344767E+002
 -0.35172414E+001  0.36551724E+001 -0.33981915E+002
 -0.35172414E+001  0.38965517E+001 -0.33619398E+002
 -0.35172414E+001  0.41379310E+001 -0.33257072E+002
 -0.35172414E+001  0.43793103E+001 -0.32894856E+002
 -0.35172414E+001  0.46206897E+001 -0.32532703E+002
 -0.35172414E+001  0.48620690E+001 -0.32170585E+002
 -0.35172414E+001  0.51034483E+001 -0.31808488E+002
 -0.35172414E+001  0.53448276E+001 -0.31446404E+002
 -0.35172414E+001  0.55862069E+001 -0.31084325E+002
 -0.35172414E+001  0.58275862E+001 -0.30722251E+002
 -0.35172414E+001  0.60689655E+001 -0.30360179E+002
 -0.35172414E+001  0.63103448E+001 -0.29998109E+002
 -0.35172414E+001  0.65517241E+001 -0.29636039E+002
 -0.35172414E+001  0.67931034E+001 -0.29273969E+002
 -0.35172414E+001  0.70344828E+001 -0.28911900E+002
 -0.35172414E+001  0.72758621E+001 -0.28549831E+002
 -0.35172414E+001  0.75172414E+001 -0.28187762E+002
 -0.35172414E+001  0.77586207E+001 -0.27825693E+002
 -0.35172414E+001  0.80000000E+001 -0.27463624E+002
 
 -0.31034483E+001  0.10000000E+001 -0.40000000E+002
 -0.31034483E+001  0.12413793E+001 -0.37201547E+002
 -0.31034483E+001  0.14827586E+001 -0.36605248E+002
 -0.31034483E+001  0.17241379E+001 -0.36150066E+002
 -0.31034483E+001  0.19655172E+001 -0.35742403E+002
 -0.31034483E+001  0.22068966E+001 -0.35356190E+002
 -0.31034483E+001  0.24482759E+001 -0.34980855E+002
 -0.31034483E+001  0.26896552E+001 -0.34611355E+002
 -0.31034483E+001  0.29310345E+001 -0.34245080E+002
 -0.31034483E+001  0.31724138E+001 -0.33880617E+002
 -0.31034483E+001  0.34137931E+001 -0.33517181E+002
 -0.31034483E+001  0.36551724E+001 -0.33154329E+002
 -0.31034483E+001  0.38965517E+001 -0.32791812E+002
 -0.31034483E+001  0.41379310E+001 -0.32429486E+002
 -0.31034483E+001  0.43793103E+001 -0.32067270E+002
 -0.31034483E+001  0.46206897E+001 -0.31705116E+002
 -0.31034483E+001  0.48620690E+001 -0.31342999E+002
 -0.31034483E+001  0.51034483E+001 -0.30980902E+002
