#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             21             20          ScXXI     45770000.0   6.539572e+07   5.674610e+03              1
             21             21         ScXXII     48665520.0   6.953281e+07   6.033600e+03              1
             22              1           TiII        55010.0   7.859774e+04   6.820195e+00              4
             22              2          TiIII       109494.0   1.564439e+05   1.357518e+01              4
             22              3           TiIV       221735.6   3.168136e+05   2.749100e+01              3
             22              4            TiV       348973.3   4.986096e+05   4.326606e+01              3
             22              5           TiVI       800900.0   1.144318e+06   9.929638e+01              3
             22              6          TiVII       964100.0   1.377496e+06   1.195301e+02              3
             22              7         TiVIII      1136000.0   1.623105e+06   1.408424e+02              3
             22              8           TiIX      1374000.0   1.963157e+06   1.703499e+02              3
             22              9            TiX      1549000.0   2.213196e+06   1.920466e+02              3
             22             10           TiXI      1741500.0   2.488238e+06   2.159129e+02              3
             22             11          TiXII      2137900.0   3.054610e+06   2.650590e+02              3
             22             12         TiXIII      2351080.0   3.359200e+06   2.914892e+02              3
             22             13          TiXIV      6354300.0   9.078960e+06   7.878125e+02              2
             22             14           TiXV      6961000.0   9.945807e+06   8.630317e+02              2
             22             15          TiXVI      7597000.0   1.085452e+07   9.418837e+02              2
             22             16         TiXVII      8420000.0   1.203041e+07   1.043920e+03              2
             22             17        TiXVIII      9120000.0   1.303056e+07   1.130707e+03              2
             22             18          TiXIX      9850000.0   1.407358e+07   1.221213e+03              2
             22             19           TiXX     10860000.0   1.551666e+07   1.346434e+03              2
             22             20          TiXXI     11497000.0   1.642680e+07   1.425410e+03              2
             22             21         TiXXII     50401000.0   7.201244e+07   6.248766e+03              1
             22             22        TiXXIII     53440800.0   7.635568e+07   6.625644e+03              1
             23              1            VII        54360.0   7.766902e+04   6.739607e+00              4
             23              2           VIII       118200.0   1.688830e+05   1.465455e+01              4
             23              3            VIV       236410.0   3.377802e+05   2.931035e+01              3
             23              4             VV       376730.0   5.382681e+05   4.670736e+01              3
             23              5            VVI       526532.0   7.523037e+05   6.527996e+01              3
             23              6           VVII      1033400.0   1.476512e+06   1.281220e+02              3
             23              7          VVIII      1215000.0   1.735980e+06   1.506369e+02              3
             23              8            VIX      1399000.0   1.998877e+06   1.734494e+02              3
             23              9             VX      1660000.0   2.371791e+06   2.058085e+02              3
