#table for dust H2 formation
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), H2 rate (1/s)
          30 ,          30
 -0.10344828E+001  0.24482759E+001 -0.17194956E+002
 -0.10344828E+001  0.26896552E+001 -0.17301547E+002
 -0.10344828E+001  0.29310345E+001 -0.17494740E+002
 -0.10344828E+001  0.31724138E+001 -0.17760845E+002
 -0.10344828E+001  0.34137931E+001 -0.18074291E+002
 -0.10344828E+001  0.36551724E+001 -0.18413295E+002
 -0.10344828E+001  0.38965517E+001 -0.18764685E+002
 -0.10344828E+001  0.41379310E+001 -0.19121782E+002
 -0.10344828E+001  0.43793103E+001 -0.19481482E+002
 -0.10344828E+001  0.46206897E+001 -0.19842386E+002
 -0.10344828E+001  0.48620690E+001 -0.20203864E+002
 -0.10344828E+001  0.51034483E+001 -0.20565624E+002
 -0.10344828E+001  0.53448276E+001 -0.20927529E+002
 -0.10344828E+001  0.55862069E+001 -0.21289509E+002
 -0.10344828E+001  0.58275862E+001 -0.21651529E+002
 -0.10344828E+001  0.60689655E+001 -0.22013572E+002
 -0.10344828E+001  0.63103448E+001 -0.22375632E+002
 -0.10344828E+001  0.65517241E+001 -0.22737719E+002
 -0.10344828E+001  0.67931034E+001 -0.23099879E+002
 -0.10344828E+001  0.70344828E+001 -0.23462242E+002
 -0.10344828E+001  0.72758621E+001 -0.23825099E+002
 -0.10344828E+001  0.75172414E+001 -0.24189015E+002
 -0.10344828E+001  0.77586207E+001 -0.24554934E+002
 -0.10344828E+001  0.80000000E+001 -0.24924239E+002
 
 -0.62068966E+000  0.10000000E+001 -0.17117249E+002
 -0.62068966E+000  0.12413793E+001 -0.17013358E+002
 -0.62068966E+000  0.14827586E+001 -0.16918523E+002
 -0.62068966E+000  0.17241379E+001 -0.16837305E+002
 -0.62068966E+000  0.19655172E+001 -0.16777361E+002
 -0.62068966E+000  0.22068966E+001 -0.16751864E+002
 -0.62068966E+000  0.24482759E+001 -0.16781162E+002
 -0.62068966E+000  0.26896552E+001 -0.16887754E+002
 -0.62068966E+000  0.29310345E+001 -0.17080947E+002
 -0.62068966E+000  0.31724138E+001 -0.17347052E+002
 -0.62068966E+000  0.34137931E+001 -0.17660498E+002
 -0.62068966E+000  0.36551724E+001 -0.17999502E+002
 -0.62068966E+000  0.38965517E+001 -0.18350892E+002
 -0.62068966E+000  0.41379310E+001 -0.18707989E+002
 -0.62068966E+000  0.43793103E+001 -0.19067689E+002
 -0.62068966E+000  0.46206897E+001 -0.19428593E+002
 -0.62068966E+000  0.48620690E+001 -0.19790071E+002
 -0.62068966E+000  0.51034483E+001 -0.20151831E+002
